user_id,travel_reason,expectations_from_neighbor,conversation_trigger,openness_score
930b2c0c-1741-49a4-98f7-816ee3f9550f,Loisirs/vacances,Autre,Ça dépend,1
3d1d6879-dc09-4b83-86f8-004339c529fe,Travail/études,Échanger sur un sujet commun,Le trajet est long,5
8542cc4f-8896-401e-a316-d9aa869d08a8,Travail/études,Réseautage pro,Le trajet est long,4
b26742fc-98c7-47eb-a260-2e23c826e545,Visite famille/amis,Discussion sympa,La conversation est légère,1
1adcf9e8-65d1-4d70-a849-644dc3ae5446,Autre,Autre,Jamais,3
c7331e25-acb8-468e-9c71-19e25dccaa8e,Visite famille/amis,Autre,Il/elle partage mes centres d’intérêt,1
1e3197ae-75dc-4af2-8724-0552c6e55ba6,Loisirs/vacances,Rester tranquille,Le trajet est long,2
4d71371e-8887-4d26-b003-e0cf8378b6ff,Autre,Discussion sympa,Ça dépend,2
fccb5c92-fb73-4dd1-a5f5-1b97c867258c,Travail/études,Autre,Ça dépend,2
d875aea9-1fde-4883-b637-8bbdc9a9e25e,Autre,Rester tranquille,Jamais,4
958c8f75-0345-4d41-9dc1-f5f1d8a354f8,Loisirs/vacances,Réseautage pro,La conversation est légère,3
8f7dfda5-325d-49a8-9fb9-b4d9a54160cb,Autre,Discussion sympa,La conversation est légère,4
dcef5f5c-4ac0-4cca-baee-32274d50e206,Visite famille/amis,Discussion sympa,Il/elle partage mes centres d’intérêt,5
f309fa11-d2a5-43cf-926f-60d5344b4448,Visite famille/amis,Échanger sur un sujet commun,La conversation est légère,3
a7585d0a-caa3-49d3-8647-2b62c44f7875,Visite famille/amis,Discussion sympa,La conversation est légère,3
4c0dd59b-e0ad-4500-9444-384228a04b98,Visite famille/amis,Rester tranquille,Le trajet est long,5
6a9f5a37-3440-4d93-9a0e-490a02a2d8cb,Autre,Autre,Il/elle partage mes centres d’intérêt,1
06c2fc7b-206a-444f-b17d-72837f14d7df,Visite famille/amis,Autre,Jamais,5
e6fc881b-8eb6-4f5d-8a09-3c8100d807d2,Travail/études,Réseautage pro,La conversation est légère,2
eeada1f4-1622-4f08-9a31-430ebdf6c10e,Autre,Autre,Le trajet est long,1
125f994f-c22f-43e5-977d-ffd30291ef93,Loisirs/vacances,Échanger sur un sujet commun,Jamais,1
167b84af-13bc-44ae-bc63-0b5d30e34aee,Loisirs/vacances,Autre,Ça dépend,3
7c159d87-9822-4786-98b6-749d6679e35e,Visite famille/amis,Autre,Ça dépend,3
10a1f7e7-c483-490c-9620-587d4f0bc0e7,Loisirs/vacances,Réseautage pro,Jamais,4
2e98638c-6e4c-4e0a-b631-04b406cf4cec,Autre,Autre,Ça dépend,5
6b968c3b-c888-4f3a-bfbb-321364e36dea,Autre,Rester tranquille,Le trajet est long,4
8e026241-46bf-4660-bcc1-b881300bedad,Autre,Discussion sympa,La conversation est légère,4
b8f19ee8-8716-4f89-ab62-fc73066d0ccb,Autre,Rester tranquille,Jamais,2
7a824433-6e15-43b9-9830-1fe74891ba25,Autre,Échanger sur un sujet commun,Jamais,3
376733cf-eb3a-4dba-909d-f8d9bcb8b94b,Loisirs/vacances,Réseautage pro,Il/elle partage mes centres d’intérêt,5
dd4e6e90-e79a-41d5-af7e-d759240e5985,Loisirs/vacances,Discussion sympa,Ça dépend,2
b6424e90-045a-416c-932c-76bf2de12564,Travail/études,Réseautage pro,Le trajet est long,4
685b5311-37c3-44d0-b1b2-a84b0c6a1805,Loisirs/vacances,Réseautage pro,Ça dépend,5
4223caa3-317b-402f-871b-8992eb0ec411,Loisirs/vacances,Discussion sympa,La conversation est légère,4
